yr-mn	yr	mn	id	total	pdo	fi	ped	bike	len_lane	tot_l	pdo_l	fi_l	ped_l	bike_l	time	level	trend	tsp	tsp_time	tsp_level	tsp_trend	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	m11	m12
1995-1	1995	1	1	138	67	71	2	1	81.06	170	83	88	2	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1995-2	1995	2	1	100	56	44	0	0	81.06	123	69	54	0	0	2	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1995-3	1995	3	1	159	77	82	6	2	81.06	196	95	101	7	2	3	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1995-4	1995	4	1	156	73	83	1	5	81.06	192	90	102	1	6	4	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1995-5	1995	5	1	169	85	84	3	3	81.06	208	105	104	4	4	5	0	0	1	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1995-6	1995	6	1	130	63	67	3	1	81.06	160	78	83	4	1	6	0	0	1	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1995-7	1995	7	1	114	54	60	6	2	81.06	141	67	74	7	2	7	0	0	1	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1995-8	1995	8	1	98	47	51	5	2	81.06	121	58	63	6	2	8	0	0	1	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1995-9	1995	9	1	111	45	66	4	4	81.06	137	56	81	5	5	9	0	0	1	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1995-10	1995	10	1	105	47	58	5	3	81.06	130	58	72	6	4	10	0	0	1	10	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1995-11	1995	11	1	116	60	56	1	1	81.06	143	74	69	1	1	11	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1995-12	1995	12	1	110	58	52	2	0	81.06	136	72	64	2	0	12	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1996-1	1996	1	1	136	62	74	15	0	81.06	168	76	91	19	0	13	0	0	1	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1996-2	1996	2	1	145	76	69	4	1	81.06	179	94	85	5	1	14	0	0	1	14	0	0	0	1	0	0	0	0	0	0	0	0	0	0
1996-3	1996	3	1	122	56	66	2	1	81.06	150	69	81	2	1	15	0	0	1	15	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1996-4	1996	4	1	144	80	64	5	0	81.06	178	99	79	6	0	16	0	0	1	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1996-5	1996	5	1	153	66	87	6	4	81.06	189	81	107	7	5	17	0	0	1	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1996-6	1996	6	1	145	75	70	2	1	81.06	179	93	86	2	1	18	0	0	1	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1996-7	1996	7	1	126	50	76	4	5	81.06	155	62	94	5	6	19	0	0	1	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1996-8	1996	8	1	185	104	81	4	2	81.06	228	128	100	5	2	20	0	0	1	20	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1996-9	1996	9	1	127	52	75	4	1	81.06	157	64	93	5	1	21	0	0	1	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1996-10	1996	10	1	143	71	72	3	3	81.06	176	88	89	4	4	22	0	0	1	22	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1996-11	1996	11	1	110	57	53	4	0	81.06	136	70	65	5	0	23	0	0	1	23	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1996-12	1996	12	1	119	63	56	7	0	81.06	147	78	69	9	0	24	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1997-1	1997	1	1	156	84	72	8	0	81.06	192	104	89	10	0	25	0	0	1	25	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1997-2	1997	2	1	149	87	62	5	2	81.06	184	107	76	6	2	26	0	0	1	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0
