seg_id	tsp	avg_aadt	ln_aadt	Streetname	Oneway	num_lane	len_ft	len	ln_len	median_per	median	bus_routes	maj_freq	sec_freq	signals	sig_den
0	0	6839	8.830396801	E  BURNSIDE ST	0	2	3165.550642	0.599536106	-0.511599079	0	0	2	0	10	2	3.34
2	0	17435	9.766234959	E  BURNSIDE ST	0	4	1073.87252	0.203384947	-1.592654805	0	0	2	0	10	1	4.92
3	0	6839	8.830396801	E  BURNSIDE ST	0	4	1845.778031	0.349579173	-1.051025212	0	0	2	0	10	1	2.86
4	0	16814	9.729967152	E  BURNSIDE ST	0	4	1825.830837	0.345801295	-1.061890961	0	0	2	0	10	2	5.78
5	0	15227	9.630825447	E  BURNSIDE ST	0	4	2235.602032	0.423409476	-0.85941554	0	0	2	0	10	2	4.72
7	0	2049	7.625107148	N  ALASKA ST	0	2	1686.449867	0.319403384	-1.141300449	0	0	2	10	0	1	3.13
8	0	5255	8.566935283	N  ALBINA AVE	0	2	7958.080736	1.507212261	0.41026176	0	0	4	26	0	3	1.99
10	0	2771	7.926963545	N  CHAUTAUQUA BLVD	0	2	1879.381128	0.355943395	-1.032983562	0	0	4	18	0	1	2.81
12	0	12737	9.452266423	N  COLUMBIA BLVD	0	4	2186.767847	0.414160577	-0.881501513	0	0	4	18	0	1	2.41
15	0	8598	9.059284897	N  DENVER AVE	0	2	1543.435448	0.29231732	-1.229915355	0	0	4	10	20	1	3.42
16	0	11882	9.382779929	N  FESSENDEN ST	0	2	4163.121507	0.788469982	-0.237660943	0	0	4	10	20	1	1.27
17	0	3998	8.293549515	N  FESSENDEN ST	0	2	1586.213949	0.300419309	-1.202576085	0	0	4	10	20	1	3.33
18	0	1767	7.477038472	N  FESSENDEN ST	0	2	1041.385696	0.197232139	-1.623373871	0	0	2	10	0	1	5.07
19	0	1476	7.297091005	N  FISKE AVE	0	2	1119.621922	0.212049606	-1.550935039	0	0	2	10	0	1	4.72
20	0	4245	8.353497099	N  FREMONT ST	0	2	1954.099822	0.370094663	-0.993996459	0	0	2	10	0	1	2.70
21	0	6738	8.815518424	N  GREELEY AVE	0	2	2264.090143	0.428804951	-0.846753122	0	0	2	8	0	1	2.33
22	0	27271	10.21357915	N  GREELEY AVE	0	4	4194.640323	0.794439455	-0.230118501	0	0	4	8	6	1	1.26
23	0	13401	9.50308461	N  IVANHOE ST	0	2	1394.34914	0.264081277	-1.331498357	0	0	2	5	4	2	7.57
24	0	1758	7.471932078	N  KILPATRICK ST	0	2	1544.189609	0.292460153	-1.22942685	0	0	4	10	20	2	6.84
26	0	10924	9.298717483	N  LOMBARD ST	0	2	5926.375433	1.12241959	0.115486703	0	0	10	20	24	4	3.56
27	0	16136	9.68880808	N  LOMBARD ST	0	2	3440.136806	0.651541062	-0.428414858	0	0	4	10	6	3	4.60
28	0	20274	9.917094556	N  LOMBARD ST	0	2	14329.49718	2.71391992	0.998394055	0.003797468	0	6	18	6	15	5.53
29	0	22992	10.04290161	N  LOMBARD ST	0	2	2046.605052	0.387614593	-0.947743749	0	0	2	0	20	2	5.16
30	0	6975	8.850087607	N  LOMBARD ST	0	2	8229.971912	1.558706801	0.443856504	0	0	2	0	8	2	1.28
34	0	14055	9.550733483	N  MARINE DR	0	4	3606.439807	0.683037842	-0.381205015	0	0	2	0	8	1	1.46
36	0	4975	8.51218065	N  MISSISSIPPI AVE	0	2	2990.11365	0.566309403	-0.568614701	0.008333333	0	2	10	0	1	1.77
37	0	4474	8.406038142	N  PENINSULAR AVE	0	2	2276.649145	0.43118355	-0.841221409	0	0	4	18	0	1	2.32
38	0	4788	8.473868067	N  PORTSMOUTH AVE	0	2	1086.141397	0.205708598	-1.581294685	0.008403361	0	4	18	0	1	4.86
41	0	5315	8.578288291	N  RICHMOND AVE	0	2	1227.457039	0.232472924	-1.458981516	0	0	4	18	0	2	8.60
44	0	11122	9.316680408	N  ROSA PARKS WAY	0	2	1522.878134	0.288423889	-1.243324044	0	0	2	0	8	1	3.47
45	0	11065	9.311542252	N  ROSA PARKS WAY	0	2	1256.993762	0.238067	-1.435203131	0	0	2	0	8	1	4.20
46	0	11556	9.354960062	N  ST. LOUIS AVE	0	2	2450.909226	0.464187353	-0.767467029	0	0	2	10	0	1	2.15
47	0	835	6.727431725	N  SYRACUSE ST	0	2	1053.266858	0.199482359	-1.612029471	0	0	2	10	0	1	5.01
48	0	1637	7.400620577	N  TRENTON ST	0	2	1340.321133	0.253848699	-1.371016861	0	0	2	10	0	1	3.94
49	0	5938	8.689127655	N  VANCOUVER AVE	1	1	3488.590949	0.660717983	-0.414428183	0	0	2	10	0	2	3.03
